"id","name","lat","lon","m3u8"
"298","2-й километр ост. №1 (Шишкова, 41б)","52.524393","85.245734","https://cctv11.digibi.ru:18080/hls/30605397/644610a60b21d7990e9f/playlist.m3u8"
"299","2-й километр ост. №2 (Шишкова, 41б)","52.524401","85.245724","https://cctv9.digibi.ru:18080/hls/30605402/3711b83d8ad69e110f3f/playlist.m3u8"
"167","8 Марта - Горно-Алтайская","52.512141","85.14149","https://cctv12.digibi.ru:18080/hls/4539796/58ca03c7bcbd06bcaa70/playlist.m3u8"
"226","Автолидер на Каховской","52.548014","85.184411","https://cctv11.digibi.ru:18080/hls/12647694/71f3b5db4a97c7da644d/playlist.m3u8"
"160","Администрация города","52.539661","85.214752","https://cctv12.digibi.ru:18080/hls/4143088/e9f9e42f7f8b80d9d170/playlist.m3u8"
"20","АТС-4 (клумба)","52.534481","85.193721","https://cctv7.digibi.ru:18080/hls/110612/c3a9c630d8054de8f810/playlist.m3u8"
"136","АТС-4 (мост)","52.536764","85.200707","https://cctv12.digibi.ru:18080/hls/2475032/54c94c5da78793b39958/playlist.m3u8"
"32","АТС-4 ост.","52.532604","85.189665","https://cctv8.digibi.ru:18080/hls/357416/eaa67a0e03fdb0057696/playlist.m3u8"
"39","Бизнес центр ""Оскар""","52.538127","85.208631","https://cctv2.digibi.ru:18080/hls/423923/c9e8eb5ea7243d99ad17/playlist.m3u8"
"122","Бийский лицей","52.492239","85.146037","https://cctv3.digibi.ru:18080/hls/2150817/35f6003048f7d8c902df/playlist.m3u8"
"225","Васильева 28","52.511195","85.15526","https://cctv9.digibi.ru:18080/hls/12562385/234d2606db107a84f737/playlist.m3u8"
"46","Васильева - 8 марта","52.509511","85.141897","https://cctv8.digibi.ru:18080/hls/489676/bbe69ba894578db7d79b/playlist.m3u8"
"48","Васильева - Ленинградская","52.509083","85.138147","https://cctv3.digibi.ru:18080/hls/615945/b6e2670b4d91a0c2d350/playlist.m3u8"
"78","Васильева - Липового","52.510246","85.150808","https://cctv5.digibi.ru:18080/hls/1248545/49760a224a3f31e71ef8/playlist.m3u8"
"18","Васильева - Мартьянова №1","52.51114","85.155059","https://cctv8.digibi.ru:18080/hls/27505/a70048d0ccd1bd594282/playlist.m3u8"
"49","Васильева - Мартьянова №2","52.510927","85.156795","https://cctv11.digibi.ru:18080/hls/594731/a379659e997bac4f5d1a/playlist.m3u8"
"182","Васильева - Омский","52.509778","85.148217","https://cctv11.digibi.ru:18080/hls/5335365/bfe8eb5bfecff1ecb5bf/playlist.m3u8"
"70","Васильева - Социалистическая","52.508768","85.135504","https://cctv12.digibi.ru:18080/hls/1065769/7f4c0b3389038f95de33/playlist.m3u8"
"38","Васильева - Трофимова №1","52.511507","85.161403","https://cctv12.digibi.ru:18080/hls/230453/178c952b7d1869584d04/playlist.m3u8"
"285","Васильева - Трофимова №2","52.511392","85.161397","https://cctv10.digibi.ru:18080/hls/28527671/29053da2de08a31c8bdd/playlist.m3u8"
"104","Вечный огонь 1","52.53988","85.226414","https://cctv5.digibi.ru:18080/hls/5790194/2440c91d18a4029af016/playlist.m3u8"
"105","Вечный огонь 2","52.540049","85.226261","https://cctv11.digibi.ru:18080/hls/5790179/18d83d7db3b6fc2b505c/playlist.m3u8"
"89","В.-Интернационалистов - 8 Марта","52.514896","85.139998","https://cctv5.digibi.ru:18080/hls/1566941/f8e453c176b95a2c6f03/playlist.m3u8"
"94","В.-Интернационалистов - Дружный","52.515226","85.142766","https://cctv5.digibi.ru:18080/hls/1598665/8b30e05bc7f76852cab6/playlist.m3u8"
